annotation,begin_datetime,end_datetime,exclusion_flag,id,instrument,method,node,parameter_ids,parameter_names,qc_flag,site,source,stream 
"Deployment 5: Instrument unable to succesfully power on and sample since 2/7/2019. Any data after this date are suspect. Instrument may be collecting data internally on battery power, but is unlikely.",2019-02-05T16:00:00Z,2019-08-09T01:04:00Z,False,1588,03-CTDBPF000,telemetered,RID16,[],[],,GI01SUMO,cdobson@whoi.edu,
Deployment 5: Failure of the salinity sensor means the salinity-corrected-nitrate is not corrected for salinity. The uncorrected nitrate is unaffected.,2019-02-06T16:00:00Z,2019-08-09T01:04:00Z,False,4653,07-NUTNRB000,telemetered,RID16,[18],['salinity_corrected_nitrate'],fail,GI01SUMO,areed@whoi.edu,suna_dcl_recovered
Deployment 5: Failure of the salinity sensor means the salinity-corrected-nitrate is not corrected for salinity. The uncorrected nitrate is unaffected.,2019-02-06T16:00:00Z,2019-08-09T01:04:00Z,False,4654,07-NUTNRB000,recovered_host,RID16,[18],['salinity_corrected_nitrate'],fail,GI01SUMO,areed@whoi.edu,suna_dcl_recovered
Deployment 5: Failure of the salinity sensor means the salinity-corrected-nitrate is not corrected for salinity. The uncorrected nitrate is unaffected.,2019-02-06T16:00:00Z,2019-08-09T01:04:00Z,False,4652,07-NUTNRB000,recovered_inst,RID16,[18],['salinity_corrected_nitrate'],fail,GI01SUMO,areed@whoi.edu,suna_instrument_recovered
"Started to see evidence of random binary encoded data in the ADCP record. In the past, this has been evidence of electronic noise on the serial lines connecting the instrument to the data logger adversely affecting the behavior of the instrument. We have disabled the data logger port for the remainder of the deployment to minimize the chance of any further disruptions to the ADCP.",2019-02-09T16:00:00Z,,False,1553,01-ADCPTC000,telemetered,RID26,[],[],not_operational,CE09OSSM,wingardc@oregonstate.edu,adcp_engineering
"Started to see evidence of random binary encoded data in the ADCP record. In the past, this has been evidence of electronic noise on the serial lines connecting the instrument to the data logger adversely affecting the behavior of the instrument. We have disabled the data logger port for the remainder of the deployment to minimize the chance of any further disruptions to the ADCP.",2019-02-09T16:00:00Z,,False,1554,01-ADCPTC000,telemetered,RID26,[],[],not_operational,CE09OSSM,wingardc@oregonstate.edu,adcp_velocity_earth
"Started to see evidence of random binary encoded data in the ADCP record. In the past, this has been evidence of electronic noise on the serial lines connecting the instrument to the data logger adversely affecting the behavior of the instrument. We have disabled the data logger port for the remainder of the deployment to minimize the chance of any further disruptions to the ADCP.",2019-02-09T16:00:00Z,,False,1555,01-ADCPTC000,telemetered,RID26,[],[],not_operational,CE09OSSM,wingardc@oregonstate.edu,adcp_config
Deployment 2: The WFP becamestuck at 25m from 2019-02-11 through 2019-02-18.,2019-02-10T16:00:00Z,2019-02-17T16:00:00Z,False,1622,,,WFP01,[],[],,CP01CNPM,cdobson@whoi.edu,
"The buoy battery voltages have been drawn down faster than expected. To conserve power, battery powered instruments have been disabled. No further telemetered or recovered_host data will be recorded for this instrument, though recovered_inst data may be available.",2019-02-13T08:35:30Z,2019-03-04T16:32:28Z,False,3461,05-PCO2WB000,,RID16,[],[],not_available,CE06ISSM,kuebelb@oregonstate.edu,
"The buoy battery voltages have been drawn down faster than expected. To conserve power, battery powered instruments have been disabled. No further telemetered or recovered_host data will be recorded for this instrument, though recovered_inst data may be available.",2019-02-13T08:35:30Z,2019-03-04T16:32:28Z,False,3462,06-PHSEND000,,RID16,[],[],not_available,CE06ISSM,kuebelb@oregonstate.edu,
"The buoy battery voltages have been drawn down faster than expected. To conserve power, battery powered instruments have been disabled. No further telemetered or recovered_host data will be recorded for this instrument, though recovered_inst data may be available.",2019-02-13T08:35:30Z,2019-03-04T16:32:28Z,False,3460,04-VELPTA000,,RID16,[],[],not_available,CE06ISSM,kuebelb@oregonstate.edu,
"The buoy battery voltages have been drawn down faster than expected. To conserve power, battery powered instruments have been disabled. No further telemetered or recovered_host data will be recorded for this instrument, though recovered_inst data may be available.",2019-02-13T08:35:30Z,2019-03-04T16:32:28Z,False,3459,04-VELPTA000,,SBD17,[],[],not_available,CE06ISSM,kuebelb@oregonstate.edu,
"Deployment 4: Frequent bad characters, invalid timestamps or unrealistic data present from 2019-02-15 onward.",2019-02-14T16:00:00Z,2020-01-20T02:01:00Z,False,1612,02-CTDMOQ012,telemetered,RII11,[],[],,GS01SUMO,cdobson@whoi.edu,
"Deployment 5: Communications to instrument began failing around 2/16/2019. Data quality is suspect after this date. Instrument may be collecting data on battery power, but it is unlikely.",2019-02-15T16:00:00Z,2019-08-09T01:04:00Z,False,1587,02-CTDBPP031,telemetered,RII11,[],[],,GI01SUMO,cdobson@whoi.edu,
"UPDATED, 2022-01-04: Some battery powered instruments were disabled sooner than others. Full shutdown occured on 2019-03-06. *The buoy battery voltage has been drawn down faster than expected. Have placed the mooring in a low power maintenance mode. No further telemetered or recovered_host data will be recorded, though recovered_inst data may be available for some instruments.",2019-02-18T18:35:30Z,2019-04-27T09:04:00Z,False,2594,,,RID16,[],[],not_operational,CE01ISSM,kuebelb@oregonstate.edu,
"Based on a HITL review and automated quality assessments of the data, the data highlighted during this time period is considered inaccurate and users should avoid using the data as part of any analysis.",2019-02-19T16:54:56Z,2019-04-26T02:57:39Z,False,4184,03-DOSTAD000,,MFD37,[],[],fail,CE06ISSM,wingardc@oregonstate.edu,
Deployment 2: Telemetry of data from the WFP ceased on 2019-02-21.,2019-02-20T16:00:00Z,2019-04-04T05:07:00Z,False,1621,,,WFP01,[],[],,CP01CNPM,cdobson@whoi.edu,
"Data suggests the sensor has become fouled. Readings essentially flat-lined beginning around December 31, 2018. Sensor was powered off February 21, 2019. No further data will be collected for the remainder of the deployment.",2019-02-21T10:33:15Z,,False,1566,08-SPKIRB000,telemetered,RID26,[],[],not_operational,CE07SHSM,wingardc@oregonstate.edu,spkir_abj_dcl_instrument
Deployment 4: Frequent bad characters; invalid timestamps or unrealistic data present from 2019-02-23 onward.,2019-02-21T16:00:00Z,2020-01-20T02:01:00Z,False,1605,02-CTDMOR019,telemetered,RII11,[],[],,GS01SUMO,cdobson@whoi.edu,
Deployment 4: Frequent bad characters; invalid timestamps or unrealistic data present from 2019-02-23 onward.,2019-02-21T16:00:00Z,2020-01-20T02:01:00Z,False,1604,02-CTDMOR020,telemetered,RII11,[],[],,GS01SUMO,cdobson@whoi.edu,
Deployment 6: Secondary controller stopped due to a failure in the controller.  Instruments that do not log internally will have no data during this time period.,2019-02-21T21:45:00Z,2019-09-27T14:26:00Z,False,3178,,,RIS01,[],[],not_operational,GP03FLMB,swhite@whoi.edu,
"UPDATED 2025-11-24: upon further review, the QC flag is reset to pass. *A HITL review of the data has found unusual, nonrealistic data during this time range. The data during this time range is marked as failed and users should avoid using this data in their analysis.",2019-02-24T00:30:00Z,2019-02-24T15:30:00Z,False,1971,04-PCO2AA000,telemetered,SBD12,"[994, 2805, 1002]","['measured_air_co2', 'pco2_co2flux', 'partial_pressure_co2_atm']",pass,CE07SHSM,wingardc@oregonstate.edu,pco2a_a_dcl_instrument_air
"UPDATED 2025-11-24: upon further review, the QC flag is reset to pass. *A HITL review of the data has found unusual, nonrealistic data during this time range. The data during this time range is marked as failed and users should avoid using this data in their analysis.",2019-02-24T00:30:00Z,2019-02-24T15:30:00Z,False,1976,04-PCO2AA000,recovered_host,SBD12,"[994, 2805, 1002]","['measured_air_co2', 'pco2_co2flux', 'partial_pressure_co2_atm']",pass,CE07SHSM,wingardc@oregonstate.edu,pco2a_a_dcl_instrument_air_recovered
Deployment 11: Data is suspect on the backscatter channel. The fluorescence channels may or may not be affected. No issue with the instrument was identified other than biofouling.,2019-02-26T16:00:00Z,2019-04-23T04:03:00Z,False,2797,04-FLORTK000,,WFP01,[],[],suspect,CP02PMCO,areed@whoi.edu,
The profiler profiled 3 times but did not relay data back to shore as expected. As of 2021-02-15 this is an unresolved issue that appears to be software related yet random.,2019-02-26T16:00:00Z,2019-02-27T15:59:59Z,False,2740,,,SP001,[],[],,CE02SHSP,ian.black@oregonstate.edu,
Deployment 6: Data on both the backscatter and flourescence channels are bad. Failure mode is not indicative of biofouling.,2019-02-28T16:00:00Z,2019-09-25T15:15:42Z,False,4403,01-FLORDL000,,WFP03,[],[],fail,GP02HYPM,areed@whoi.edu,
Deployment 4: Human-in-the-loop review of the data identified an increase in variability and a pattern indicative of biofouling on the sensor.,2019-02-28T16:00:00Z,2020-01-20T02:00:58Z,False,4308,04-DOSTAD000,,SBD11,[],[],suspect,GS01SUMO,areed@whoi.edu,
"UPDATED 2025-11-24: upon further review, the QC flag is reset to pass. *A HITL review of the data has found unusual, nonrealistic data during this time range. The data during this time range is marked as failed and users should avoid using this data in their analysis.",2019-03-04T09:30:00Z,2019-03-05T00:30:00Z,False,1972,04-PCO2AA000,telemetered,SBD12,"[994, 2805, 1002]","['measured_air_co2', 'pco2_co2flux', 'partial_pressure_co2_atm']",pass,CE07SHSM,wingardc@oregonstate.edu,pco2a_a_dcl_instrument_air
"UPDATED 2025-11-24: upon further review, the QC flag is reset to pass. *A HITL review of the data has found unusual, nonrealistic data during this time range. The data during this time range is marked as failed and users should avoid using this data in their analysis.",2019-03-04T09:30:00Z,2019-03-05T00:30:00Z,False,1977,04-PCO2AA000,recovered_host,SBD12,"[994, 2805, 1002]","['measured_air_co2', 'pco2_co2flux', 'partial_pressure_co2_atm']",pass,CE07SHSM,wingardc@oregonstate.edu,pco2a_a_dcl_instrument_air_recovered
"The buoy battery voltages have been drawn down faster than expected. Have placed the mooring in a low power maintenance mode. No further telemetered or recovered_host data will be recorded, though recovered_inst data may be available for some instruments.",2019-03-04T16:32:28Z,2019-04-25T08:29:00Z,False,3463,,,SBD17,[],[],not_operational,CE06ISSM,wingardc@oregonstate.edu,
"The buoy battery voltages have been drawn down faster than expected. Have placed the mooring in a low power maintenance mode. No further telemetered or recovered_host data will be recorded, though recovered_inst data may be available for some instruments.",2019-03-04T16:32:28Z,2019-04-25T08:29:00Z,False,3464,,,RID16,[],[],not_operational,CE06ISSM,wingardc@oregonstate.edu,
"The buoy battery voltage has been drawn down faster than expected. Have placed the mooring in a low power maintenance mode. No further telemetered or recovered_host data will be recorded, though recovered_inst data may be available for some instruments.",2019-03-06T04:35:00Z,2019-04-27T09:04:00Z,False,2595,,recovered-host,,[],[],not_operational,CE01ISSM,kuebelb@oregonstate.edu,
"A HITL review of the data has found unusual, nonrealistic data during this time range. The data during this time range is marked as failed and users should avoid using this data in their analysis.",2019-03-09T03:30:00Z,2019-04-21T22:30:00Z,False,1952,04-PCO2AA000,,SBD12,[],[],fail,CE04OSSM,wingardc@oregonstate.edu,
"Based on a HITL review and automated quality assessments of the data, the data highlighted during this time period is considered suspect and users should exercise caution when using the data as part of any analysis.",2019-03-11T20:24:54Z,2019-04-27T08:41:32Z,False,4036,06-FLORTD000,,SBD17,[],[],suspect,CE01ISSM,wingardc@oregonstate.edu,
Deployment 4: Large data gap between 3/15/2019 and 5/16/2019 due to instrument failure. The instrument was switched to polling mode on 5/16/2019 which has resulted in successful logging.,2019-03-14T17:00:00Z,2020-01-20T02:01:00Z,False,1592,05-PCO2WB000,,RID16,[],[],,GS01SUMO,cdobson@whoi.edu,
HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,2019-03-18T01:48:48Z,2019-03-27T14:52:39Z,False,3925,2B-PHSENA108,,SF01B,[],[],fail,CE04OSPS,m.vardaro@gmail.com,
Deployment 10: Reduced signal across all spectral irradiance channels is suspect. No reduced shortwave irradiance or increase in Chl-a identified during this period. Signal strength is also inconsistent with data from the start of the following deployment 11.,2019-03-20T17:00:00Z,2019-04-07T06:15:00Z,False,5540,08-SPKIRB000,,RID26,[],[],suspect,CP01CNSM,kylene.cooley@whoi.edu,
Deployment 3: Human-in-the-loop review of the data identified an increase in variability and a pattern indicative of biofouling on the sensor.,2019-03-20T17:00:00Z,2019-08-09T01:03:19Z,False,4290,04-DOSTAD000,,SBD11,[],[],suspect,GI01SUMO,areed@whoi.edu,
Deployment 4: Data range suspect beginning 3/22/2019. Instrument lamp determined to have failed and instrument no longer producing quality data. Instrument power disabled on 5/14/2019.,2019-03-21T17:00:00Z,2020-01-20T02:01:00Z,False,1579,04-PCO2AA000,,SBD12,[],[],,GS01SUMO,cdobson@whoi.edu,
Deployment 12: Erratic profiles 2019-03-24 through 2019-03-26 and 2019-04-03 onward until recovery. ,2019-03-23T17:00:00Z,2019-04-18T17:00:00Z,False,1624,,,WFP01,[],[],,CP02PMUI,cdobson@whoi.edu,
Deployment 6: Secondary controller stopped due to a failure in the controller.  Instruments that do not log internally will have no data during this time period.,2019-03-24T10:15:00Z,2019-09-28T21:40:00Z,False,3171,,,RIS01,[],[],not_operational,GP03FLMA,swhite@whoi.edu,
"Based on a HITL review and automated quality assessments of the data, the data highlighted during this time period is considered inaccurate and users should avoid using the data as part of any analysis.",2019-03-27T00:30:56Z,2019-04-25T15:30:58Z,False,4057,02-FLORTD000,,RID27,[],[],fail,CE07SHSM,wingardc@oregonstate.edu,
Deployment 5: Telemetered data cease 3/28/2019. Root cause still to be determined.,2019-03-27T17:00:00Z,2019-08-09T01:04:00Z,False,1599,02-PCO2WC052,telemetered,RII11,[],[],,GI01SUMO,cdobson@whoi.edu,
"During this timespan, there is a two week period where profile start and stop depths are sporadic. The profiler seemed to correct itself during the last week of the deployment. It is believed that this is the result of a winch rope overwrap that worked itself out.",2019-04-02T17:00:00Z,2019-05-07T16:59:59Z,False,2741,,,SP001,[],[],,CE02SHSP,ian.black@oregonstate.edu,
Wave action over powered the profiler winch brake and forced the profiler to the surface. On 2019-04-06 the profiler went adrift. On 2019-04-12 the profiler landed at Ecola State Park and was recovered the next day via backpack.,2019-04-02T17:00:00Z,2019-04-11T17:00:00Z,False,2717,,,SP001,[],[],not_operational,CE01ISSP,ian.black@oregonstate.edu,
"UPDATED 2020-08-31: The vendor attempted to correct the data post-recovery by using zero readings from the sensor obtained before and after deployment to establish the cumulative drift over time. This was then applied as a linear correction. Note that extreme downward spikes are present in the data at 18:00 every day starting 22 August 2019. * Deployment 10: Due to a firmware bug, the sensor zeroing function for correcting the baseline drift over time is not currently saving the new reference value to compare the raw CO2 value outputs during the measurements. The sensors are zeroing at the end of the sample cycle when scheduled, but the firmware is not storing the new value. This results in the original zero reference value being used for all measurements and an observable and consistent negative drift in both the air and water CO2 values. The vendor has indicated that the data may be correctable post-recovery, however at this time no such correction algorithm has been provided",2019-04-05T07:55:00Z,2019-09-28T05:38:00Z,False,1716,04-PCO2AA000,,SBD12,[],[],suspect,CP04OSSM,swhite@whoi.edu,
Deployment 10: 125 kHz transducer failure; Post-recovery evaluation of the instrument revealed failures or defects affecting the 125 kHz transducer. The precise time of failure cannot be determined and it is unknown to what extent data are or may be affected.,2019-04-05T07:55:00Z,2019-09-28T05:38:00Z,False,2031,07-ZPLSCC000,,MFD37,[],[],suspect,CP04OSSM,swhite@whoi.edu,
Deployment 11: Multiple transducer failures; Post-recovery evaluation of the instrument revealed failures or defects affecting the 38 kHz and 125 kHz transducers. The precise time of failure cannot be determined and it is unknown to what extent data are or may be affected.,2019-04-06T07:35:00Z,2019-09-26T10:15:00Z,False,2029,07-ZPLSCC000,,MFD37,[],[],suspect,CP01CNSM,swhite@whoi.edu,
"UPDATED 2020-08-31: The data was unable to be corrected post-recovery due to cross-contamination of the water and air measurements. * Deployment 11: Due to a firmware bug, the sensor zeroing function for correcting the baseline drift over time is not currently saving the new reference value to compare the raw CO2 value outputs during the measurements. The sensors are zeroing at the end of the sample cycle when scheduled, but the firmware is not storing the new value. This results in the original zero reference value being used for all measurements and an observable and consistent negative drift in both the air and water CO2 values. The vendor has indicated that the data may be correctable post-recovery, however at this time no such correction algorithm has been provided",2019-04-06T07:35:00Z,2019-09-26T10:15:00Z,True,1714,04-PCO2AA000,,SBD12,[],[],fail,CP01CNSM,swhite@whoi.edu,
Deployment 10: Data is suspect on the backscatter channel. The fluorescence channels may or may not be affected. No issue with the instrument was identified other than biofouling.,2019-04-06T17:00:00Z,2019-04-22T05:15:12Z,False,4401,04-FLORTK000,,WFP01,[],[],suspect,CP04OSPM,areed@whoi.edu,
The profiler was parked due to rough weather.,2019-04-06T17:00:00Z,2019-04-09T17:00:00Z,False,2742,,,SP001,[],[],not_available,CE02SHSP,ian.black@oregonstate.edu,
Deployment 10: 125 kHz transducer failure; Post-recovery evaluation of the instrument revealed failures or defects affecting the 125 kHz transducer. The precise time of failure cannot be determined and it is unknown to what extent data are or may be affected.,2019-04-07T07:42:00Z,2019-10-01T04:58:00Z,False,2030,07-ZPLSCC000,,MFD37,[],[],suspect,CP03ISSM,swhite@whoi.edu,
"UPDATED 2020-08-31: The vendor attempted to correct the data post-recovery by using zero readings from the sensor obtained before and after deployment to establish the cumulative drift over time. This was then applied as a linear correction. Note that the data is still suspect as the air values appear to be slightly high at the start of the deployment. * Deployment 10:  Due to a firmware bug, the sensor zeroing function for correcting the baseline drift over time is not currently saving the new reference value to compare the raw CO2 value outputs during the measurements. The sensors are zeroing at the end of the sample cycle when scheduled, but the firmware is not storing the new value. This results in the original zero reference value being used for all measurements and an observable and consistent negative drift in both the air and water CO2 values. The vendor has indicated that the data may be correctable post-recovery, however at this time no such correction algorithm has been provided",2019-04-07T07:42:00Z,2019-09-26T06:50:00Z,False,1715,04-PCO2AA000,,SBD12,[],[],suspect,CP03ISSM,swhite@whoi.edu,
Deployment 1: Early battery depletion resulted in science and diving being suspended on 4/8/2019. No telemetered data is expected after this date. Glider recovered on 5/21/2019. ,2019-04-07T17:00:00Z,2019-05-21T00:00:00Z,False,1581,,telemetered,GL469,[],[],,GP05MOAS,cdobson@whoi.edu,
"Battery pack on the profiler is getting low. To conserve power for profiling, data telemetry has been disabled.",2019-04-07T19:23:00Z,2019-05-04T02:22:00Z,False,1666,,telemetered,WFP01,[],[],not_available,CE09OSPM,wingardc@oregonstate.edu,
"Battery pack on the profiler was getting low. Sensors did not have enough power to fully operate (most noticeable in the VEL3D-K data streams), and the profiler did not have enough power to descend to the full operating depth. Stopped operating altogether on 2019-04-26 after completing 1728 profiles over the course of the deployment.",2019-04-10T01:00:00Z,2019-05-04T02:22:00Z,False,1667,,recovered-wfp,WFP01,[],[],not_available,CE09OSPM,wingardc@oregonstate.edu,
The profiler was parked due to rough weather.,2019-04-12T17:00:00Z,2019-04-17T17:00:00Z,False,2743,,,SP001,[],[],not_available,CE02SHSP,ian.black@oregonstate.edu,
Instrument stopped recording data earlier than programmed. No further recovered_inst data will be available from Deployment 9.,2019-04-16T02:00:00Z,2019-04-25T08:29:00Z,False,3465,05-PCO2WB000,recovered_inst,RID16,[],[],not_available,CE06ISSM,kuebelb@oregonstate.edu,
"Deployment 5: Communications to instrument began failing around 4/17/2019. Data quality is suspect after this date. Instrument may be collecting data on battery power, but it is unlikely.",2019-04-16T17:00:00Z,2019-08-09T01:04:00Z,False,1585,02-CTDBPP033,telemetered,RII11,[],[],,GI01SUMO,cdobson@whoi.edu,
HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,2019-04-18T01:40:39Z,2019-04-21T15:58:26Z,False,3971,2D-PHSENA101,,SF01A,[],[],fail,RS01SBPS,m.vardaro@gmail.com,
The profiler surfaced unexpectedly after being told to park. The shore pilot was able to get the profiler working again remotely.,2019-04-18T17:00:00Z,2019-04-19T16:59:50Z,False,2744,,,SP001,[],[],,CE02SHSP,ian.black@oregonstate.edu,
"UPDATED, 2025-12-02: An offset of +13 uatm + 0.457 uatm per day from the start of the deployment through 2019-08-15T20:30:00 UTC corrects the negative drift observed prior to the implementation of the zero resets. *UPDATED, 2019-09-04: The vendor provided a protocol to reset the zero measurement on a daily basis. This protocol has been implemented on the mooring and the pCO2 air and water measurements have reset. *Due to a firmware bug, the sensor zeroing function for correcting the baseline drift over time is not currently saving the updated reference value used to compute the raw CO2 value outputs during the measurements. The sensors are zeroing at the end of the sample cycle when scheduled, but the firmware is not storing the new value. This results in the original zero reference value being used for all measurements and an observable and consistent negative drift in both the air and water CO2 values. The vendor has indicated that the data may be correctable post-recovery, however at this time no such correction algorithm has been provided.",2019-04-19T16:50:00Z,2019-10-22T08:32:00Z,False,1680,04-PCO2AA000,,SBD12,[],[],suspect,CE02SHSM,wingardc@oregonstate.edu,
"Due to adverse datalogger/instrument sampling schedule interactions, the instrument battery packs were removed to render the instrument a ""dumb"" device (samples when powered on). An unintended consequence of this is the instrument sometimes loses the internal clock settings and sets to 1970-01-01 as the default date. The current Data Portal system excludes this data. Until such time as a work around is available, this data will not be available for this deployment.",2019-04-19T20:01:00Z,2019-10-22T16:57:00Z,False,1679,01-VEL3DD000,,MFD35,[],[],not_available,CE01ISSM,wingardc@oregonstate.edu,
"Immediately after deployment, power to the instrument indicated a short to seawater. Either the instrument has flooded or the cable(s) to the instrument or external pump have failed. No further data will be available from this instrument for this time period.",2019-04-20T13:13:00Z,2019-10-21T14:56:00Z,False,1683,01-OPTAAD000,,RID27,[],[],not_operational,CE04OSSM,wingardc@oregonstate.edu,
"UPDATED, 2025-12-02: An offset of +0.629 uatm per day from the start of the deployment through 2019-08-15T18:30:00 UTC corrects the negative drift observed prior to the implementation of the zero resets. *UPDATED, 2019-09-04: The vendor provided a protocol to reset the zero measurement on a daily basis. This protocol has been implemented on the mooring and the pCO2 air and water measurements have reset. *Due to a firmware bug, the sensor zeroing function for correcting the baseline drift over time is not currently saving the updated reference value used to compute the raw CO2 value outputs during the measurements. The sensors are zeroing at the end of the sample cycle when scheduled, but the firmware is not storing the new value. This results in the original zero reference value being used for all measurements and an observable and consistent negative drift in both the air and water CO2 values. The vendor has indicated that the data may be correctable post-recovery, however at this time no such correction algorithm has been provided.",2019-04-21T22:30:00Z,2019-10-21T14:56:00Z,False,1682,04-PCO2AA000,,SBD12,[],[],suspect,CE04OSSM,wingardc@oregonstate.edu,
Deployment 5: Telemetered data cease 4/23/2019. Root cause still to be determined.,2019-04-22T17:00:00Z,2019-08-09T01:04:00Z,False,1600,02-PCO2WC051,telemetered,RII11,[],[],,GI01SUMO,cdobson@whoi.edu,
UPDATED 2020-02-18: WFP and ADCP data were collected during the deployment and are available as recovered datasets; Deployment 12: No telemetered data expected after 4/24/19. Pesumed to be profiling and WFP data should be available after recovery.,2019-04-23T14:00:00Z,2019-10-08T05:02:00Z,False,1578,,,,[],[],,CP02PMCO,cdobson@whoi.edu,
Precipitation sensor failed at the beginning of the deployment. All precipitation data collected during Deployment 9 is marked as fail and should not be used.,2019-04-24T08:12:00Z,2019-10-12T16:51:00Z,False,4512,06-METBKA000,recovered_host,SBD11,[1055],['precipitation'],fail,CE07SHSM,kuebelb@oregonstate.edu,metbk_a_dcl_instrument_recovered
"Due to adverse datalogger/instrument sampling schedule interactions, the instrument battery packs were removed to render the instrument a ""dumb"" device (samples when powered on). An unintended consequence of this is the instrument sometimes loses the internal clock settings and sets to 1970-01-01 as the default date. The current Data Portal system excludes this data. Until such time as a work around is available, this data will not be available for this deployment.",2019-04-24T08:12:00Z,2019-10-10T14:07:00Z,False,1688,01-VEL3DD000,,MFD35,[],[],not_available,CE07SHSM,wingardc@oregonstate.edu,
Precipitation sensor failed at the beginning of the deployment. All precipitation data collected during Deployment 9 is marked as fail and should not be used.,2019-04-24T08:12:00Z,2019-10-12T16:51:00Z,False,4511,06-METBKA000,telemetered,SBD11,[1055],['precipitation'],fail,CE07SHSM,kuebelb@oregonstate.edu,metbk_a_dcl_instrument
"UPDATED, 2025-12-02: An offset of +0.690 uatm per day from the start of the deployment through 2019-08-15T18:30:00 UTC corrects the negative drift observed prior to the implementation of the zero resets. *UPDATED, 2019-09-04: The vendor provided a protocol to reset the zero measurement on a daily basis. This protocol has been implemented on the mooring and the pCO2 air and water measurements have reset. *Due to a firmware bug, the sensor zeroing function for correcting the baseline drift over time is not currently saving the updated reference value used to compute the raw CO2 value outputs during the measurements. The sensors are zeroing at the end of the sample cycle when scheduled, but the firmware is not storing the new value. This results in the original zero reference value being used for all measurements and an observable and consistent negative drift in both the air and water CO2 values. The vendor has indicated that the data may be correctable post-recovery, however at this time no such correction algorithm has been provided.",2019-04-24T08:12:00Z,2019-08-15T11:30:00Z,False,1687,04-PCO2AA000,,SBD12,[],[],suspect,CE07SHSM,wingardc@oregonstate.edu,
"UPDATED, 2025-12-02: An offset of +0.589 uatm per day from the start of the deployment through 2019-08-15T14:30:00 UTC corrects the negative drift observed prior to the implementation of the zero resets. *UPDATED, 2019-09-04: The vendor provided a protocol to reset the zero measurement on a daily basis. This protocol has been implemented on the mooring and the pCO2 air and water measurements have reset. *Due to a firmware bug, the sensor zeroing function for correcting the baseline drift over time is not currently saving the updated reference value used to compute the raw CO2 value outputs during the measurements. The sensors are zeroing at the end of the sample cycle when scheduled, but the firmware is not storing the new value. This results in the original zero reference value being used for all measurements and an observable and consistent negative drift in both the air and water CO2 values. The vendor has indicated that the data may be correctable post-recovery, however at this time no such correction algorithm has been provided.",2019-04-24T15:25:00Z,2019-08-15T07:30:00Z,False,1692,04-PCO2AA000,,SBD12,[],[],suspect,CE09OSSM,wingardc@oregonstate.edu,
Deployment 3: Science disabled on 4/26/2019 to conserve battery power for remainder of 14-month deployment. No science data is expected after this date. ,2019-04-24T17:00:00Z,2019-06-19T00:18:24Z,False,1582,,,GL363,[],[],,GI05MOAS,cdobson@whoi.edu,
"Due to adverse datalogger/instrument sampling schedule interactions, the instrument battery packs were removed to render the instrument a ""dumb"" device (samples when powered on). An unintended consequence of this is the instrument sometimes loses the internal clock settings and sets to 1970-01-01 as the default date. The current Data Portal system excludes this data. Until such time as a work around is available, this data will not be available for this deployment.",2019-04-25T14:53:00Z,2019-10-12T13:18:00Z,False,1686,01-VEL3DD000,,MFD35,[],[],not_available,CE06ISSM,wingardc@oregonstate.edu,
"The blanks in the telemetered and recovered_host streams do not track with the record from the recovered_inst stream. This results in an offset between the calculated pCO2 values between the streams. The recovered_inst stream should be used for Deployment 10, rather than the telemetered or recovered_host streams.",2019-04-25T14:53:00Z,2019-10-12T07:36:00Z,False,3467,05-PCO2WB000,recovered_host,RID16,[931],['pco2_seawater'],suspect,CE06ISSM,wingardc@oregonstate.edu,pco2w_abc_dcl_instrument_recovered
"The blanks in the telemetered and recovered_host streams do not track with the record from the recovered_inst stream. This results in an offset between the calculated pCO2 values between the streams. The recovered_inst stream should be used for Deployment 10, rather than the telemetered or recovered_host streams.",2019-04-25T14:53:00Z,2019-10-12T07:36:00Z,False,3466,05-PCO2WB000,,RID16,[],[],suspect,CE06ISSM,wingardc@oregonstate.edu,
Deployment 11: Analysis of recovered instrument data shows that this instrument failed to initiaize beginning 2019-04-26. No telmetered or recovered data are available after this date for this deployment.,2019-04-25T17:00:00Z,2019-09-26T10:15:00Z,False,2010,08-FDCHPA000,,SBD12,[],[],not_operational,CP01CNSM,cdobson@whoi.edu,
"UPDATED, 2019-10-12: Confirmed upon recovery, the instrument was flooded. *Within a week of deployment, the instrument exhibited behavior consistent with flooding, a QA issue we have experienced with the SAMI sensors. Power to the instrument was disabled. No further data will be collected for the remainder of the deployment.",2019-04-29T03:35:00Z,2019-10-10T14:07:00Z,False,1689,06-PHSEND000,,MFD35,[],[],not_available,CE07SHSM,wingardc@oregonstate.edu,
"Deployment 5: Communications to instrument began failing around 5/1/2019. Data quality is suspect after this date. Instrument may be collecting data on battery power, but it is unlikely.",2019-04-30T17:00:00Z,2019-08-09T01:04:00Z,False,1586,02-CTDBPP032,telemetered,RII11,[],[],,GI01SUMO,cdobson@whoi.edu,
Deployment 4: There have been some gaps in the telemetered FLORT data beginning 2019-05-02. Root cause still to be determined.,2019-05-01T17:00:00Z,2020-01-20T02:01:00Z,False,1584,02-FLORTD000,,SBD12,[],[],,GS01SUMO,cdobson@whoi.edu,
